"filename", "language", "SCSS", "Python", "JavaScript", "Properties", "YAML", "JSON", "Ignore", "Makefile", "Docker", "pip requirements", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\TN\nova-cs322\.circleci\config.yml", "YAML", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 5, 4, 95
"c:\Users\TN\nova-cs322\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\TN\nova-cs322\.eslintrc.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\TN\nova-cs322\.isort.cfg", "Properties", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\TN\nova-cs322\.pre-commit-config.yaml", "YAML", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 56
"c:\Users\TN\nova-cs322\.prospector.yaml", "YAML", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52
"c:\Users\TN\nova-cs322\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 15, 37
"c:\Users\TN\nova-cs322\Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 2, 15, 60
"c:\Users\TN\nova-cs322\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 37, 126
"c:\Users\TN\nova-cs322\app.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\TN\nova-cs322\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\TN\nova-cs322\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 9, 28
"c:\Users\TN\nova-cs322\backend\common\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\common\context_processors.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\TN\nova-cs322\backend\common\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\common\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\common\management\commands\celery.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 33
"c:\Users\TN\nova-cs322\backend\common\management\commands\has_missing_migrations.py", "Python", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 57
"c:\Users\TN\nova-cs322\backend\common\models.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\TN\nova-cs322\backend\common\routes.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\TN\nova-cs322\backend\common\urls.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\TN\nova-cs322\backend\common\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\common\utils\tests.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 64
"c:\Users\TN\nova-cs322\backend\common\views.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\TN\nova-cs322\backend\course\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\course\admin.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\TN\nova-cs322\backend\course\apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\TN\nova-cs322\backend\course\migrations\0001_initial.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 23
"c:\Users\TN\nova-cs322\backend\course\migrations\0002_initial.py", "Python", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\TN\nova-cs322\backend\course\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\course\models.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\TN\nova-cs322\backend\course\serializers.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\TN\nova-cs322\backend\course\views.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\TN\nova-cs322\backend\manage.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 32
"c:\Users\TN\nova-cs322\backend\researcherFormApi\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\researcherFormApi\admin.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\TN\nova-cs322\backend\researcherFormApi\apps.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\TN\nova-cs322\backend\researcherFormApi\migrations\0001_initial.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 39
"c:\Users\TN\nova-cs322\backend\researcherFormApi\migrations\0002_initial.py", "Python", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\TN\nova-cs322\backend\researcherFormApi\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\researcherFormApi\models.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\TN\nova-cs322\backend\researcherFormApi\serializers.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\TN\nova-cs322\backend\researcherFormApi\views.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\TN\nova-cs322\backend\sonaCS322\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\TN\nova-cs322\backend\sonaCS322\celery.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\TN\nova-cs322\backend\sonaCS322\celerybeat_schedule.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\TN\nova-cs322\backend\sonaCS322\settings\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\sonaCS322\settings\base.py", "Python", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39, 179
"c:\Users\TN\nova-cs322\backend\sonaCS322\settings\local.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\TN\nova-cs322\backend\sonaCS322\settings\local_base.py", "Python", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 57
"c:\Users\TN\nova-cs322\backend\sonaCS322\settings\production.py", "Python", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 111
"c:\Users\TN\nova-cs322\backend\sonaCS322\settings\test.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 27
"c:\Users\TN\nova-cs322\backend\sonaCS322\urls.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\TN\nova-cs322\backend\sonaCS322\wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 18
"c:\Users\TN\nova-cs322\backend\templates\base.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 11, 35
"c:\Users\TN\nova-cs322\backend\templates\common\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 8, 31
"c:\Users\TN\nova-cs322\backend\templates\includes\sentry_init.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\TN\nova-cs322\backend\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\users\admin.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\TN\nova-cs322\backend\users\apps.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\TN\nova-cs322\backend\users\managers.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\TN\nova-cs322\backend\users\migrations\0001_initial.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 54
"c:\Users\TN\nova-cs322\backend\users\migrations\0002_auto_20210520_2152.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\TN\nova-cs322\backend\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\users\models.py", "Python", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 70
"c:\Users\TN\nova-cs322\backend\users\serializers.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\TN\nova-cs322\backend\users\tasks.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\TN\nova-cs322\backend\users\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\backend\users\views.py", "Python", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\TN\nova-cs322\docker-compose.yml", "YAML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"c:\Users\TN\nova-cs322\frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\TN\nova-cs322\frontend\js\App.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\TN\nova-cs322\frontend\js\actions\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\TN\nova-cs322\frontend\js\components\Login.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"c:\Users\TN\nova-cs322\frontend\js\components\Logout.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\TN\nova-cs322\frontend\js\components\Navbar\InstructorNav.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\Users\TN\nova-cs322\frontend\js\components\Navbar\ParticipantNav.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 72
"c:\Users\TN\nova-cs322\frontend\js\components\Navbar\ResearchNav.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\Users\TN\nova-cs322\frontend\js\components\Navbar\index.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\TN\nova-cs322\frontend\js\components\Navbar\logoutDropdown.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 46
"c:\Users\TN\nova-cs322\frontend\js\components\ParticipantDashboard\mySchedules.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\TN\nova-cs322\frontend\js\components\ParticipantDashboard\profileModal.js", "JavaScript", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 199
"c:\Users\TN\nova-cs322\frontend\js\components\ParticipantDashboard\signUp.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\Users\TN\nova-cs322\frontend\js\components\PrescreenForm.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\Users\TN\nova-cs322\frontend\js\components\ProtectedRoutes.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\TimeslotModal.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 95
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\addNewStudy.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\allStudiesCard.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\dashboardCard.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\myStudiesCard.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\prescreenResult.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\profileModal.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\recentActivities.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\researchEditModal.js", "JavaScript", 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 377
"c:\Users\TN\nova-cs322\frontend\js\components\ResearcherDashboard\upcomingAppointments.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\TN\nova-cs322\frontend\js\constants\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\TN\nova-cs322\frontend\js\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\TN\nova-cs322\frontend\js\pages\Dashboard.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\TN\nova-cs322\frontend\js\pages\Home.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\TN\nova-cs322\frontend\js\pages\Instructor\InstructorDashboard.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\TN\nova-cs322\frontend\js\pages\Instructor\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\AllStudies.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 134
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\CurrStudy.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 137
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\Dashboard.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\MySchedule.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\Timeslots.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 87
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\TimeslotsRow.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\TN\nova-cs322\frontend\js\pages\Participant\index.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\AddAppointment.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 75
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\AddNewStudies.js", "JavaScript", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 19, 425
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\AllResearches.js", "JavaScript", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 116
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\EditTimeslot.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 118
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\MyResearches.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 108
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\ResearcherDashboard.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\TN\nova-cs322\frontend\js\pages\Researcher\index.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\TN\nova-cs322\frontend\js\reducers\addAppointmentSlots.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\TN\nova-cs322\frontend\js\reducers\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\TN\nova-cs322\frontend\js\routes\Routes.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\TN\nova-cs322\frontend\js\store\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\TN\nova-cs322\frontend\js\utils\SentryBoundary.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 63
"c:\Users\TN\nova-cs322\frontend\js\utils\getCookieToken.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\TN\nova-cs322\frontend\js\utils\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\TN\nova-cs322\frontend\js\utils\refreshToken.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 19
"c:\Users\TN\nova-cs322\frontend\js\utils\urls.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\TN\nova-cs322\frontend\sass\_global.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\components\_all.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\TN\nova-cs322\frontend\sass\helpers\_all.scss", "SCSS", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\TN\nova-cs322\frontend\sass\helpers\_functions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\helpers\_helpers.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\helpers\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\helpers\_placeholders.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\helpers\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\frontend\sass\pages\_all.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\TN\nova-cs322\frontend\sass\pages\_home.scss", "SCSS", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\TN\nova-cs322\frontend\sass\pages\_participant.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\TN\nova-cs322\frontend\sass\pages\_researchDashboard.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\TN\nova-cs322\frontend\sass\pages\dashboard.scss", "SCSS", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\TN\nova-cs322\frontend\sass\style.scss", "SCSS", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 36
"c:\Users\TN\nova-cs322\frontend\sass\vendor\_bootstrap-includes.scss", "SCSS", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 6, 47
"c:\Users\TN\nova-cs322\frontend\sass\vendor\custom-bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\TN\nova-cs322\jest-setup.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\TN\nova-cs322\jest.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 41
"c:\Users\TN\nova-cs322\package-lock.json", "JSON", 0, 0, 0, 0, 0, 14457, 0, 0, 0, 0, 0, 0, 0, 1, 14458
"c:\Users\TN\nova-cs322\package.json", "JSON", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Users\TN\nova-cs322\postcss.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\TN\nova-cs322\requirements.in", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\TN\nova-cs322\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\TN\nova-cs322\server.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\TN\nova-cs322\webpack.base.config.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 49
"c:\Users\TN\nova-cs322\webpack.local.config.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 74
"c:\Users\TN\nova-cs322\webpack.prod.config.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 66
"Total", "-", 76, 916, 2987, 12, 239, 14636, 3, 43, 23, 38, 111, 40, 212, 829, 20165